# liu_readings.txt — 繁體單字讀音底稿
# primary: dict-revised.json (moedict)
# fill: Newlist(台灣教育部).txt — only chars absent from dict-revised
# light tone = 5; ü written as v
# format: 字<TAB>py1 py2 ...
# patched: missing readings filled from original Boshiamy phonetic groups (append-only)
偠	yao3
偢	chou3 qiu1
健	jian4
偩	fu4
偪	bi1 fu2
偭	mian3
偯	yi3
偰	xie4
偲	si1 sai1
側	ze4 ce4
偵	zhen1
偶	ou3
偷	tou1
偺	za2 zan2
偽	wei4
傀	gui1 kui3
傃	su4
傅	fu4
傈	li4
傉	nu4
傌	ma3 ma4
傍	bang1 bang4 pang2
傎	dian1
傑	jie2
傒	xi1 xi4
傔	qian4
傕	jue2
傖	cheng2 cang1
傘	san3
備	bei4
傚	xiao4
傜	yao2
傞	suo1
傢	jia1
傣	dai3 tai4
催	cui1
傭	yong1 yong2
傯	zong3
傱	song3
傲	ao4
傳	zhuan4 chuan2
傴	yu3
債	zhai4
傷	shang1
傺	chi4
傻	sha3
傾	keng1 qing1 qing2
僂	lou2
僄	piao1 piao4
僅	jin3 jin4
僆	lian4 lian3
僇	lu4
僈	man4
僉	qian1
僊	xian1
僎	zhuan4
像	xiang4
僑	qiao2
僓	tui3 tui2
僔	zun3
僕	pu2
僖	xi1
僗	lao2 lao4
僚	liao2
僛	qi1
僝	chan2
僤	dan4
僥	jiao3 yao2
僦	jiu4
僧	seng1
僨	fen4
僩	xian4
僬	jiao1
僭	jian4
僮	tong2 zhuang4
僰	bo2
僱	gu4
僵	jiang1
僶	min3
價	ga5 jia4
僻	bei4 pi4
僽	zhou4
僾	ai4
僿	shi4 sai4
儀	yi2
儂	nong2
儃	tan3 chan2 shan4
億	yi4
儆	jing3
儇	xuan1
儈	kuai4
儉	jian3 jian4
儋	dan1 dan4
儌	jiao3
儐	bin1 bin4
儒	ru2
儓	tai2
儔	chou2
儕	chai2
儗	ni3
儘	jin3 jin4
儚	meng2
儜	neng2
償	chang2
儡	lei3
儤	bao4
儥	yu4 du2
儦	biao1
儩	si4
優	you1
儭	chen4
儱	long3 long2
儲	chu3 chu2
儳	chan4
儴	rang2
儵	shu4
儷	li4
儸	luo2
儹	zan3 zuan3
儺	nuo2
儻	tang3
儼	yan3
儿	ren2
兀	wu4
允	yun3
元	yuan2
兄	xiong1
充	chong1
兆	zhao4
兇	xiong1
先	xian1 xian4
光	guang1
克	ke4
兌	dui4
免	mian3 wen4
兒	ni2 er2
兔	tu4
兕	si4
兗	yan3
党	dang3
兜	dou1
兢	jing1
入	ri4 ru3 ru4
內	na4 nei4
全	quan2
兩	liang3
八	ba1
公	gong1
六	liu4 lu4
兮	xi1
共	gong1 gong3 gong4
兵	bing1
其	ji1 ji4 qi2
具	ju4
典	dian3
兼	jian1
冀	ji4
冂	jiong1
冉	ran3
冊	chai3 ce4
再	zai4
冏	jiong3
冑	zhou4
冒	mo4 mao4
冓	gou4
冔	xu3
冕	mian3
冖	mi4
冗	rong3
冘	you2 yin2
冞	mi2
冠	guan1 guan4
冢	zhong3
冣	ju4 zui4
冤	yuan1
冥	ming2
冪	mi4
冫	bing1
冬	dong1
冰	bing1
冱	hu4
冶	ye3
冷	leng3
冼	sheng3
冽	lie4
准	zhun3
凇	song1
凊	jing4 qing4
凋	diao1
凌	ling2
凍	dong4
凔	chuang4 cang1
凘	si1
凜	lin3
凝	ning2
几	ji1 ji3
凡	fan2
凰	huang2
凱	kai3
凳	deng4
凵	kan3 qu1
凶	xiong1
凸	die2 tu1 tu2 gu3
凹	ao1 yao1 wa1 wa4
出	chu1
函	han2
刀	dao1
刁	diao1
刃	ren4
分	fen1 fen4
切	qie1 qie4
刈	yi4
刉	ji1 ji4
刊	kan1
刌	cun3
刎	wen3
刑	xing2
划	hua2
刓	wan2 wan1
刖	yue4
列	lie4
刜	fu2
初	chu1
判	pan4
別	bie2
刨	bao4 pao2
利	li4
刪	shan1
刮	gua1
到	dao4
刱	chuang4
刲	kui1
刳	ku1
刵	er4
制	zhi4
刷	shua1 shua4
券	quan4
刺	ci4
刻	ke1 ke4
剁	duo4
剃	ti4
剄	jing3
則	ze2
剉	cuo4
削	xiao1 xue4
剋	ke4
剌	la2 la4
前	qian2
剎	cha4 sha1
剒	cuo4
剔	ti1
剕	fei4
剖	pou1 pou3 po3
剗	chan3 chan4
剚	zi4
剛	gang1
剜	wan1
剝	bo1 bao1
剞	ji1 ji3
剟	duo2
剡	shan4 yan3
剨	huo4
剩	sheng4
剪	jian3
剫	duo2
剭	wu1
剮	gua3
副	pi4 fu4
割	ge1
剴	kai3
創	chuang1 chuang4
剷	chan3
剸	tuan2 zhuan1
剺	li2
剽	piao4
剿	jiao3 chao1
劀	gua1
劁	qiao2 qiao4
劂	jue2
劃	hua2 hua4
劄	zha2
劇	ji2 ju4
劈	pi1 pi3
劉	liu2
劊	gui4 kuai4
劌	gui4
劍	jian4
劐	huo1
劑	ji4
劓	yi4
劖	chan2
劘	mo2
劙	li2
力	li4
功	gong1
加	jia1
劣	lie4
劦	xie2
助	zhu4
努	nu3
劫	jie2
劬	qu2
劭	shao4
劻	kuang1
劼	jie2
劾	he2
勁	jin4 jing4
勃	bo2
勇	yong3
勉	mian3
勍	qing2
勑	lai4 chi4
勒	le4 lei1
動	dong4
勗	xu4
勘	kan1 kan4
務	wu4
勛	xun1
勝	sheng1 sheng4
勞	lao2 lao4
募	mu4
勢	shi4
勣	ji1
勤	qin2
勦	jiao3 chao1
勩	yi4
勰	xie2
勱	mai4
勵	li4
勷	xiang1 rang2
勸	quan4
勹	bao1
勺	zhuo2 shao2 shuo4
勻	yun2
勾	gou1 gou4
勿	wu4
包	bao1
匆	cong1
匈	xiong1
匊	ju2
匋	tao2
匍	pu2
匏	pao2
匐	fu2
匕	bi3
化	hua1 hua4
北	bo4 bei3 bei4
匙	shi5 chi2
匚	fang1 xi3
匜	yi2
匝	za1
匟	kang4
匠	jiang4
匡	kuang1
匣	xia2
匪	fei3
匭	gui3
匯	hui4
匱	gui4 kui4
匴	suan3
匸	xi4
匹	pi1 pi3
匼	an3 an4
匽	yan3
匾	bian3
匿	ni4
區	gou1 qu1 ou1
十	shi2
卂	xun4
千	qian1
卅	sa4
升	sheng1
午	huo5 wu3
卉	hui4
半	ban4
卌	xi4
卍	wan4
卑	bei1
卒	zu2 cu4
卓	zhuo1 zhuo2
協	xie2
南	na2 nan2
博	bo2
卜	bu3
卞	bian4
占	zhan1 zhan4
卡	ka3 qia3
卣	you3 you4
卦	gua4
卩	jie2
卬	ang2 yang3
卮	zhi1
卯	mao3
印	yin4
危	wei2
卲	shao4
即	ji2
卵	luan3
卷	juan3 juan4 quan2
卸	xie4
卹	xu4
卻	que4
卼	wu4
卿	qing1
厂	han3
厄	e4
厊	ya3
厎	zhi3
厏	zha3
厓	yai2
厖	pang2 mang2
厘	li2
厚	hou4
厜	chui2 dui1
厝	cuo4
厞	fei4
原	yuan2 yuan4
厤	li4
厥	jue2
厭	yan1 yan4
厲	lai4 li4
厴	yan3
厶	si1
厹	qiu2 rou2
去	qu4
参	san1 shen1
參	shen1 can1 cen1 san1
又	you4
叉	cha1 cha3 cha2
及	ji2
友	you3
反	fan1 fan3 fan4
叒	ruo4
叔	shu2
叕	zhuo2
取	qu3
受	shou4
叛	pan4
叟	sou1 sou3
叡	rui4
叢	cong1 cong2
口	kou3
古	gu3
句	gou1 gou4 ju4
另	ling4
叨	dao1 tao1
叩	kou4
只	zhi1 zhi3
叫	jiao4
召	zhao4 shao4 zhao1
叭	ba1
叮	ding1
可	ke3 ke4
台	tai1 yi2 tai2
叱	chi4
史	shi3
右	you4
叵	po3
司	si1
叼	diao1
吁	xu1
吃	ji2 chi1
各	ge4
吆	yao1
合	ge3 he2
吉	ji2
吊	diao4
吋	cun4
同	tong2 tong4
名	ming2
后	hou4
吏	li4
吐	tu3 tu4
向	xiang4
吒	zha4
吔	ye5
君	jun1
吝	lin4
吞	tun1
吟	yin2
吠	fei4
吡	bi3 bi4 pi3
否	pi3 fou3
吧	ba5 ba1
吩	fen1
吪	e2
含	han2 han4
听	yin3
吭	keng1 hang2
吮	shun3
吰	hong2 hu1
吱	zhi1 zi1
吳	wu2
吵	chao3
吶	na4
吷	xue4 chuo4
吸	xi1
吹	chui1 chui4 chui2
吻	wen3
吼	hou3
吽	hong1 ou2
吾	wu2 yu2
呀	xia1 ya1
呂	lv3
呃	e4
呆	dai1 ai2
呈	cheng2
告	gao4 gu4
呎	chi3
呔	tai5 tai4
呝	e4
呢	ne5 ni2
呥	ran2 ran3
呦	you1
周	zhou1
呫	che4 zhan1
呰	zi3
呱	gu1 gua1 wa1
呲	ci1 ci2 yi2
味	wei4
呴	hou1 xu3 xu1
呵	he1 o1
呶	nao2
呷	xia2
呸	pei1
呺	hao2 xiao1
呻	shen1
呼	hu1
命	ming4
呾	da2
呿	qu1
咀	ju3
咂	za1
咄	duo4
咆	pao2
咇	bi3 bi4 bie2
咈	fu2
咋	zha4 ze2
和	huo5 he2 he4 han4 hu2 huo4
咍	hai1
咎	gao1 jiu4
咐	fu4
咒	zhou4
咕	gu1
咖	ka1
咚	dong1
咡	er4
咢	e4
咥	die2 xi4
咦	yi2
咧	lie1 lie3 lie2
咨	zi1
咩	mie1
咪	mi1
咫	zhi3
咬	jiao1 yao3
咭	ji1 jie2
咮	zhou4
咯	lo5 luo4 ge1 ge2 ka3
咱	za2 zan2
咳	ka3 ke2 hai1 kai4
咵	kua3
咷	tao2
咸	xian2
咺	xuan3
咻	xiu1 xu3
咼	kuai1
咽	ye4 yan1 yan4
咿	yi1
哀	ai1
品	pin3
哂	shen3
哃	tong2
哄	hong1 hong3
哅	xiong1 hong1
哆	duo1 che3 duo4
哇	wa5 wa1
哈	ka1 ha1 ha3
哉	zai1
哎	ai1
哏	gen2 hen1
哖	nian2
員	yuan2 yun2 yun4
哤	mang2
哥	ge1
哦	o2 e2
哧	chi1 chi4
哨	shao4
哩	li5 li1 li3
哪	na5 na3 nei3 nuo2
哫	zu2
哭	ku1
哮	xiao1 xiao4
哰	lao2
哱	po4 bei4
哲	zhe2
哳	zha2
哷	le4
哺	bu3 bu4 pu3
哼	heng1
哽	geng3
哿	ge3 ke3
唁	yan4
唄	bei5 bai4
唅	han1
唆	suo1
唇	zhen1 chun2
唈	e4 yi4
唉	ai1
唏	xi1
唐	tang2
唓	che1
唔	wu2
唕	zao4
唗	dou1 dou3
唚	qin4
唦	sha1 gou4
唧	ji1 ji2
唪	feng3
唫	yin2 jin4
唬	hu3
售	shou4
唯	wei3 wei2
唱	chang4
唲	er2
唳	li4
唵	an3
唶	ji2 jie4 ze4
唷	yo1
唸	nian4
唼	qie4 sha4 za1
唾	tuo4
啀	yai2
啁	zhou1 chao2 zou1
啃	ken3 ken4
啄	zhuo2
啅	zhuo2
商	shang1
啊	a5 a1 o1
啍	tun1
啎	wu3
問	wen4
啐	q5 cui4
啑	jie2 sha4 jie1
啕	tao2
啖	dan4
啗	dan4
啜	chuo4
啞	e4 ya1 ya3
啟	qi3
啡	fei1
啢	liang3 liang4
啣	xian2
啤	pi2
啥	sha2
啦	la5 la1
啪	pa1 pia1
啵	bo5 bo1
啶	ding4
啷	lang1
啻	ti4 chi4
啼	ti2
啽	an2
啾	jiu1
喀	ka1 ka4 ke4
喁	yu2 yong2
喂	wei4
喃	nan2
善	shan4
喇	la1 la3
喈	jie1 jie4
喉	hou2
喊	han3
喋	die2 zha2
喌	zhou1 zhu4
喍	chai2
喎	kuai1
喏	nuo4 re3
喑	yin1
喒	za2 zan2 zan3
喓	yao1
喔	o1 wu1 wo4
喘	chuan3
喙	hui4
喚	huan4
喜	xi3
喝	he1 he4 ye4
喟	kui4
喢	sha4
喣	xu3
喤	huang2
喦	nie4 ji2 yan2
喧	xuan1
喨	liang4
喪	sang1 sang4
喫	chi1
喬	jiao1 qiao2
喭	yan4
單	dan1 chan2 shan4
喱	li3 li2
喲	yao1
喳	zha1 cha1
喵	miao1
喻	yu4
嗀	huo4
嗃	he4
嗄	sha4 a2
嗅	xiu4
嗆	qiang1 qiang4
嗇	se4
嗈	yong1
嗉	su4
嗊	hong3
嗋	xie2 xie1
嗌	ai4 yi4
嗍	shuo4
嗎	ma5 ma3 ma1
嗏	cha1
嗐	hai4
嗑	ke4 he2
嗒	da1 ta4
嗓	sang3
嗔	chen1
嗖	sou1
嗚	wu1
嗛	qian1 qian3 qian4 xian2
嗜	shi4
嗝	ge2
嗞	zi1
嗟	jie1 jie4 jue1
嗡	weng1
嗢	wa4
嗣	si4
嗤	chi1
嗥	hao2
嗦	suo1
嗨	hai1 hai4
嗩	suo3
嗯	en5 en1
嗲	die1
嗶	bi4
嗷	ao2
嗹	lian2
嗻	zhe1 zhe4 zhu4
嗼	mo4
嗽	sou4
嗾	zu2 sou3
嗿	tan3
嘀	di2
嘁	qi1 za2 za1
嘆	tan4
嘈	cao2
嘉	jia1
嘌	piao1 biao1
嘍	lou5 lou2
嘎	ga1 ga2
嘏	gu3 jia3
嘐	xiao1
嘑	hu1 hu4
嘒	hui4
嘓	guo1
嘔	xu1 ou1 ou3 ou4 yu3
嘕	xian1
嘖	ze2
嘗	chang2
嘚	de1
嘛	ma5 ma2
嘟	du1
嘧	mi4
嘩	hua1 hua2
嘬	chuai4 zuo1
嘮	lao2
嘯	xiao4
嘰	ji1
嘲	zhao1 chao2
嘴	zui3
嘵	xiao1
嘶	si1
嘸	wu3 fu3
嘹	liao2
嘻	xi1
嘽	tan1 chan3
嘿	mo4 hei1
噀	xun4 sun4
噁	e3 wu4
噂	zun3
噆	zan3 can3
噇	chuang2
噌	cheng1 ceng1 ceng3
噍	jiao1 jiao4
噎	ye1
噏	xi1
噓	xu1 shi1
噔	deng1
噗	pu1
噘	jue1
噙	qin2
噚	xun2
噞	yan3 yan4
噠	da1 da2
噢	yu3
噣	zhou4 zhuo2
噤	jin4
噥	nong2
噦	hui4 yue1
器	qi4
噩	e4
噪	zao4
噫	yi1 yi4
噬	shi4
噭	jiao4
噯	ai3 ai4
噰	yong1
噱	jue2 xue1
噲	kuai4
噴	pen1 pen4 fen4
噶	ga2 ge2
噸	dun4
噹	dang1
嚀	ning2
嚃	ta4
嚄	huo4 o3
嚅	ru2
嚆	hao1
嚇	he4 xia4
嚌	ji4
嚎	hao2
嚏	ti4
嚐	chang2
嚕	lu1
嚗	bo1 bao4
嚘	you1
嚚	yin2
嚜	me5 mo4
嚥	yan4
嚦	li4
嚧	lu2
嚨	long2
嚫	chen4
嚬	pin2
嚭	pi3
嚮	xiang4
嚱	xi1
嚲	duo3
嚳	ku4
嚴	yan2
嚵	chan4 chan2
嚶	ying1
嚷	rang1 rang3
嚼	jiao2 jiao4 jue2
嚾	huan1 huan4
囀	zhuan3
囁	nie4 zhe2
囂	xiao1
囃	ca4
囅	chan3
囈	yi4
囉	luo1 luo2
囊	nang2
囋	zan4
囌	su1
囑	zhu3
囔	nang5
囗	wei2
囚	qiu2
四	si4
囝	jian3 yue4 nan1
回	hui2
囟	xin4
因	yin1
囡	nan1
囤	dun4 tun2
囧	jiong3
囪	chuang1 cong1
囫	hu2
囮	e2 you2
困	kun4
囷	jun1
囹	ling2
固	gu4
囿	you4
圂	huan4 hun4
圃	pu3
圄	yu3
圇	lun2
圈	juan1 juan4 quan1 quan4 quan3
圉	yu3
圊	qing1
國	guo2
圌	chui2
圍	wei2
園	yuan2
圓	yuan2
圖	tu2
團	tuan2
圛	yi4
圜	huan2 yuan2
土	tu3
圠	ya4
在	zai4
圩	wei2 yu2
圬	wu1
圭	gui1
圮	pi3
圯	yi2
地	de5 di4
圳	zhen4 chou2 zun4
圻	qi2 yin2
圾	ji2 se4
址	zhi3
坁	zhi3
坂	ban3
坄	yi4
均	jun1 yun4
坊	fang1 fang2
坌	ben4
坍	tan1
坎	kan3
坏	pei2 pei1 pi1 huai4
坐	zuo4
坑	keng1
坡	po1
坤	kun1
坦	tan3
坨	tuo2
坩	gan1
坪	ping2
坫	dian4
坯	pei1 pi1
坰	jiong1
坱	yang3 yang1
坳	ao1 ao4
坵	qiu1
坶	mu3 mu4
坷	ke3
坻	di3 chi2
坼	che4
垂	chui2
垃	le4
型	xing2
垌	dong4 tong2 tong3
垍	ji4
垓	gai1
垔	yin1
垗	zhao4
垚	yao2
垛	duo3 duo4
垝	gui3
垞	cha2
垠	yin2
垡	fa2
垢	gou4
垣	yuan2
垤	die2
垮	kua3
垸	huan2 huan4
垺	fu2 pei1
埂	geng3
埃	ai1
埆	que4
埋	mai2 man2
埌	lang4
城	cheng2
埏	shan1 yan2
埒	le4
埔	bu3 pu3
埕	cheng2
埜	ye3
埝	nian4
域	yu4
埠	bu4 fu4
埤	bei1 bi4 pi2 pi4
埧	ju4
埭	dai4
埳	kan3
埴	zhi2
埵	duo3
埶	shi4 yi4
執	zhi2
埸	yi4
培	pei2 pou3
基	ji1
埻	zhun3 guo1
埼	qi2
堀	ku1 jue2
堁	ke3
堂	tang2
堄	ni2 ni4
堅	jian1
堆	dui1
堇	jin3 jin4
堉	yu4
堊	e4 wu4
堋	beng4 peng2 peng4
堍	tu4
堐	ai2 ya2
堙	yin1
堝	guo1
堞	die2
堠	hou4
堡	bao3 pu4
堤	di1 ti2
堥	mao2 mou2
堧	ruan2
堩	geng4
堪	kan1
堮	e4
堯	yao2
堰	yan4
報	bao4
堲	ji2
場	chang3 chang2
堵	du3
堶	tuo2 tuo1
堽	gang1
塈	ji4 xi4
塊	kuai4
塋	ying2
塌	ta1
塍	cheng2
塏	kai3
塑	su4
塒	shi2
塓	mi4
塔	ta3
塕	weng3
塗	tu2
塘	tang2
塚	zhong3
塞	se4 sai1 sai4 sei1
塢	wu4
塨	gong1
填	tian2
塭	wen1
塵	chen2
塹	qian4
塺	mo4 mei2
塼	zhuan1
塽	shuang3
塾	shu2
塿	lou3
墀	chi2
墁	man4
境	jing4
墅	shu4
墆	die2 di4
墉	yong1 yong2
墊	dian4
墐	jin3 jin4
墓	mu4
墘	qian2 qi2
墜	zhui4
墝	qiao1
增	zeng1
墟	xu1
墠	shan4
墡	shan4
墣	pu2
墦	fan2
墨	mo4
墩	dun1
墮	duo4 hui1
墯	duo4
墱	deng4
墳	fen2 fen4
墼	ji2
墾	ken3
壁	bi4
壅	yong1 yong3
壇	tan2
壈	lan3
壎	xuan1 xun1
壑	huo4
壓	ya1
壕	hao2
壘	lei3 lv4
壙	kuang4
壚	lu2
壝	wei3
壞	guai4 huai4
壟	long3
壢	li4
壤	rang3
壩	ba4
士	shi4
壬	ren2
壯	zhuang4
壴	zhu4 zhu3
壹	yi1
壺	hu2
壼	kun3
壽	shou4
夂	zhi3
夃	gu1
夊	cui1 sui1
复	fou4 fu4
夏	jia3 xia4
夔	kui2
夕	xi4
外	wai4
夙	su4
多	duo1 duo2 duo4
夜	ye4
夠	gou4
夢	meng4
夤	yin2
夥	huo3
大	da4 dai4 tai4
夨	ze4
天	tian1
